Station Name: HOLYCROSS-Cabragh_Wetlands
Station Height: 94 M 
Latitude:52.640  ,Longitude: -7.838


date: -   09 to 09 utc
rain: -   Precipitation Amount (mm)
maxt: -   Maximum Temperature (C)
mint: -   Minimum Temperature (C)
gmin: -   09utc Grass Minimum Temperature (C)
soil: -   10cm Soil Temperature (C)
ind:  -	  Indicator

date,ind,rain,ind,maxt,ind,mint,gmin,soil
15-dec-2013,0,9.900, , , , , , 
16-dec-2013,4,0.000, , , , , , 
17-dec-2013,4,0.000, , , , , , 
18-dec-2013,0,23.300, , , , , , 
19-dec-2013,0,3.600, , , , , , 
20-dec-2013,0,5.700, , , , , , 
21-dec-2013,0,8.000, , , , , , 
22-dec-2013,0,8.900, , , , , , 
23-dec-2013,0,1.800, , , , , , 
24-dec-2013,0,0.000, , , , , , 
25-dec-2013,0,1.000, , , , , , 
26-dec-2013,0,14.600, , , , , , 
27-dec-2013,0,3.800, , , , , , 
28-dec-2013,0,0.500, , , , , , 
29-dec-2013,0,21.200, , , , , , 
30-dec-2013,0,3.000, , , , , , 
31-dec-2013,0,16.800, , , , , , 
01-jan-2014,1,1.300, , , , , , 
02-jan-2014,1,4.100, , , , , , 
03-jan-2014,0,6.200, , , , , , 
04-jan-2014,0,4.100, , , , , , 
05-jan-2014,0,9.900, , , , , , 
06-jan-2014,0,5.700, , , , , , 
07-jan-2014,0,1.500, , , , , , 
08-jan-2014,0,8.900, , , , , , 
09-jan-2014,4,0.000, , , , , , 
10-jan-2014,0,2.200, , , , , , 
11-jan-2014,0,1.400, , , , , , 
12-jan-2014,0,11.700, , , , , , 
13-jan-2014,4,0.000, , , , , , 
14-jan-2014,0,10.200, , , , , , 
15-jan-2014,0,2.800, , , , , , 
16-jan-2014,0,9.300, , , , , , 
17-jan-2014,0,1.300, , , , , , 
18-jan-2014,0,1.000, , , , , , 
19-jan-2014,0,0.700, , , , , , 
20-jan-2014,0,2.200, , , , , , 
21-jan-2014,0,0.600, , , , , , 
22-jan-2014,0,2.600, , , , , , 
23-jan-2014,0,9.700, , , , , , 
24-jan-2014,0,2.200, , , , , , 
25-jan-2014,0,19.600, , , , , , 
26-jan-2014,0,9.300, , , , , , 
27-jan-2014,0,9.400, , , , , , 
28-jan-2014,1,0.900, , , , , , 
29-jan-2014,1,0.200, , , , , , 
30-jan-2014,0,14.300, , , , , , 
31-jan-2014,0,12.100, , , , , , 
01-feb-2014,0,12.100, , , , , , 
02-feb-2014,0,13.200, , , , , , 
03-feb-2014,0,0.000, , , , , , 
04-feb-2014,0,35.900, , , , , , 
05-feb-2014,0,8.000, , , , , , 
06-feb-2014,4,0.000, , , , , , 
07-feb-2014,0,12.800, , , , , , 
08-feb-2014,0,14.000, , , , , , 
09-feb-2014,0,5.800, , , , , , 
10-feb-2014,0,5.200, , , , , , 
11-feb-2014,0,17.900, , , , , , 
12-feb-2014,0,13.000, , , , , , 
13-feb-2014,0,5.100, , , , , , 
14-feb-2014,0,11.300, , , , , , 
15-feb-2014,4,0.000, , , , , , 
16-feb-2014,0,11.100, , , , , , 
17-feb-2014,0,8.600, , , , , , 
18-feb-2014,4,0.000, , , , , , 
19-feb-2014,0,3.800, , , , , , 
20-feb-2014,0,1.900, , , , , , 
21-feb-2014,0,2.300, , , , , , 
22-feb-2014,0,4.800, , , , , , 
23-feb-2014,0,6.100, , , , , , 
24-feb-2014,0,9.200, , , , , , 
25-feb-2014,0,2.900, , , , , , 
26-feb-2014,0,9.500, , , , , , 
27-feb-2014,0,12.300, , , , , , 
28-feb-2014,0,1.600, , , , , , 
01-mar-2014,0,5.200, , , , , , 
02-mar-2014,0,1.500, , , , , , 
03-mar-2014,0,0.400, , , , , , 
04-mar-2014,4,0.000, , , , , , 
05-mar-2014,0,1.600, , , , , , 
